time,open,high,low,close,Up Trend,Down Trend
2019-12-30,39067,40143,38904,40112,35931.86861623264,
2020-01-06,40250,41293,39568,39871,36618.3107084838,
2020-01-13,39722,39983,39262,39946,36618.3107084838,
2020-01-20,39900,40440,39675,40352,36618.3107084838,
2020-01-27,40500,41185,40066,41052,36869.76328417171,
2020-02-03,41079,41140,39900,40644,36869.76328417171,
2020-02-10,40566,41010,40300,40979,36885.38046087847,
2020-02-17,40889,42790,40720,42666,37684.68843015324,
2020-02-24,42932,43788,41275,41397,38062.40920147636,
2020-03-02,41738,44961,41646,44158,38181.9485880446,
2020-03-09,44575,44772,40055,40348,38181.9485880446,
2020-03-16,40982,41199,38400,40358,38181.9485880446,
2020-03-23,40721,44535,39765,43545,38181.9485880446,
2020-03-30,43314,43870,42622,43722,38181.9485880446,
2020-04-06,44000,45724,44000,45294,38181.9485880446,
2020-04-13,45800,47327,45614,45735,39263.23441938708,
2020-04-20,45465,46900,45050,46527,39263.23441938708,
2020-04-27,46511,46650,44740,45527,39263.23441938708,
2020-05-04,45565,46377,45311,45812,39263.23441938708,
2020-05-11,45801,47462,45501,47381,39379.344650966406,
2020-05-18,47659,47980,46241,47056,40018.08834090197,
2020-05-25,46808,47150,45775,46654,40018.08834090197,
2020-06-01,46571,47300,45421,45698,40018.08834090197,
2020-06-08,45793,47680,45748,47334,40018.08834090197,
2020-06-15,47199,47980,46546,47937,40270.73676452524,
2020-06-22,48000,48589,47700,48305,41381.32098022356,
2020-06-29,48365,48982,47606,48046,41614.76624820865,
2020-07-06,47970,49348,47775,48863,41908.08183166141,
2020-07-13,49046,49291,48713,48967,42638.00970955065,
2020-07-20,48910,51184,48858,51035,43461.00906224728,
2020-07-27,51749,53700,51277,53445,45655.17512476412,
2020-08-03,53564,56191,53429,54789,47695.696783113184,
2020-08-10,55049,55449,49955,52227,47695.696783113184,
2020-08-17,52151,53999,51239,52016,47695.696783113184,
2020-08-24,51860,52232,50533,51448,47695.696783113184,
2020-08-31,51540,52100,50362,50678,47695.696783113184,
2020-09-07,50801,51851,50629,51319,47695.696783113184,
2020-09-14,51599,52182,51181,51715,47695.696783113184,
2020-09-21,51650,51650,49248,49659,47695.696783113184,
2020-09-28,49474,50690,49315,50570,47695.696783113184,
2020-10-05,50230,50982,49880,50817,47695.696783113184,
2020-10-12,50940,51184,50110,50547,47695.696783113184,
2020-10-19,50552,51454,50437,50839,47695.696783113184,
2020-10-26,50690,51125,50070,50699,47695.696783113184,
2020-11-02,50777,52450,50612,52167,47695.696783113184,
2020-11-09,52270,52520,49500,50986,47695.696783113184,
2020-11-16,50931,51029,49720,50212,47695.696783113184,
2020-11-23,50234,50350,47800,48125,47695.696783113184,
2020-11-30,47680,49490,47550,49172,47695.696783113184,
2020-12-07,49231,50175,48874,49324,47695.696783113184,
2020-12-14,49101,50642,48602,50304,47695.696783113184,
2020-12-21,50515,51009,49680,50073,47695.696783113184,
2020-12-28,50200,50580,49857,50244,47695.696783113184,
2021-01-04,50300,51875,48818,48967,47695.696783113184,
2021-01-11,48786,49570,48537,48702,47695.696783113184,
2021-01-18,48669,49765,48608,49140,47695.696783113184,
2021-01-25,49155,49485,48511,49096,47695.696783113184,
2021-02-01,49370,49400,46611,47256,,54939.00485344193
2021-02-08,47152,48374,47111,47318,,54550.5711965458
2021-02-15,47436,47480,45861,46197,,53456.43311677608
2021-02-22,46335,46985,45611,45736,,52997.93757565768
2021-03-01,46000,46139,44217,44683,,51943.808403947165
2021-03-08,44756,45167,44150,44750,,51244.45451035068
2021-03-15,44790,45299,44626,45021,,51244.45451035068
2021-03-22,44974,45040,44441,44642,,50804.83370679437
2021-03-29,44972,45500,44108,45418,,50804.83370679437
2021-04-05,45349,46900,45274,46593,,50804.83370679437
2021-04-12,46545,47432,46367,47353,,50804.83370679437
2021-04-19,47353,48429,47128,47532,,50804.83370679437
2021-04-26,47604,47650,46462,46737,,50804.83370679437
2021-05-03,46921,48050,46650,47751,,50804.83370679437
2021-05-10,47820,48144,47211,47676,,50804.83370679437
2021-05-17,47989,48875,47910,48404,,50804.83370679437
2021-05-24,48450,49220,48250,48542,,50804.83370679437
2021-05-31,48690,49721,48454,48994,,50804.83370679437
2021-06-07,48947,49399,48675,48903,,50804.83370679437
2021-06-14,48750,48750,46668,46728,,50804.83370679437
2021-06-21,46900,47318,46633,46925,,50804.83370679437
2021-06-28,46965,47515,46330,47285,,50804.83370679437
2021-07-05,47349,48290,47250,47923,,50804.83370679437
2021-07-12,47807,48501,47477,48053,,50804.83370679437
2021-07-19,48083,48295,47300,47534,,50804.83370679437
2021-07-26,47647,48310,47367,47846,,50804.83370679437
2021-08-02,47951,48358,46556,46640,,50804.83370679437
2021-08-09,46311,46996,45662,46940,,50804.83370679437
2021-08-16,46950,47850,46816,47158,,50804.83370679437
2021-08-23,47215,47731,46820,47538,,50804.83370679437
2021-08-30,47438,47598,46776,47524,,50804.83370679437
2021-09-06,47433,47497,46713,46806,,50804.83370679437
2021-09-13,46927,47320,45812,45986,,50804.83370679437
2021-09-20,45930,46799,45787,45995,,50804.83370679437
2021-09-27,46036,46687,45511,46506,,50804.83370679437
2021-10-04,46532,47370,46341,47037,,50804.83370679437
2021-10-11,46950,48100,46864,47213,,50804.83370679437
2021-10-18,47220,48242,47169,47797,,50804.83370679437
2021-10-25,47900,48299,47382,47635,,50804.83370679437
2021-11-01,47615,48014,46872,47972,,50804.83370679437
2021-11-08,48000,49380,47815,49314,,50804.83370679437
2021-11-15,49170,49610,48710,48828,,50804.83370679437
2021-11-22,48794,48875,47253,47585,,50804.83370679437
2021-11-29,47700,48500,47350,47903,,50804.83370679437
2021-12-06,47953,48300,47790,48164,,50804.83370679437
2021-12-13,48213,48785,47925,48594,,50804.83370679437
2021-12-20,48594,48643,47975,48119,,50804.83370679437
2021-12-27,48119,48328,47577,48099,,50804.83370679437
2022-01-03,48050,48169,47300,47452,,50804.83370679437
2022-01-10,47394,47993,47301,47778,,50804.83370679437
2022-01-17,47835,48557,47780,48249,,50804.83370679437
2022-01-24,48323,48912,47479,47611,,50804.83370679437
2022-01-31,47590,48127,47499,47924,,50804.83370679437
2022-02-07,48011,49134,47995,49114,,50804.83370679437
2022-02-14,49450,50438,49230,50112,,50804.83370679437
2022-02-21,50071,52797,49764,50221,,50804.83370679437
2022-02-28,50880,52601,50505,52559,46540.857381271584,
2022-03-07,53266,55558,52240,52878,48293.08909657436,
2022-03-14,52623,52786,51028,51447,48293.08909657436,
2022-03-21,51430,52155,51150,51876,48293.08909657436,
2022-03-28,51721,52221,50354,51606,48293.08909657436,
2022-04-04,51550,52197,51251,52071,48293.08909657436,
2022-04-11,52126,53150,52021,52992,48293.08909657436,
2022-04-18,53470,53663,52104,52261,48293.08909657436,
2022-04-25,52033,52115,50828,51754,48293.08909657436,
2022-05-02,51270,51557,50481,51343,48293.08909657436,
2022-05-09,51259,51386,49670,49873,48293.08909657436,
2022-05-16,49930,50860,49572,50829,48293.08909657436,
2022-05-23,50897,51246,50580,50913,48293.08909657436,
2022-05-30,50974,51390,50415,50970,48293.08909657436,
2022-06-06,51126,51797,50420,51701,48293.08909657436,
2022-06-13,51530,51660,50151,50834,48293.08909657436,
2022-06-20,50985,51146,50410,50623,48293.08909657436,
2022-06-27,50730,52032,50433,51917,48293.08909657436,
2022-07-04,52050,52300,50366,50779,48293.08909657436,
2022-07-11,50709,50946,49957,50107,48293.08909657436,
2022-07-18,50150,50870,49703,50644,48293.08909657436,
2022-07-25,50673,51501,50446,51426,48293.08909657436,
2022-08-01,51250,52525,51115,51874,48293.08909657436,
2022-08-08,51793,52620,51793,52585,48293.08909657436,
2022-08-16,52265,52265,51435,51479,48293.08909657436,
2022-08-22,51409,51846,50971,51238,48293.08909657436,
2022-08-29,51100,51369,49876,50368,48293.08909657436,
2022-09-05,50410,50743,50007,50529,48293.08909657436,
2022-09-12,50505,50780,48951,49380,48293.08909657436,
2022-09-19,49257,50175,49044,49401,48293.08909657436,
2022-09-26,49350,50565,48980,50194,48293.08909657436,
2022-10-03,50300,52120,50286,51960,48293.08909657436,
2022-10-10,51685,51685,50174,50260,48293.08909657436,
2022-10-17,50382,50747,49808,50626,48293.08909657436,
2022-10-24,50700,50875,50165,50230,48293.08909657436,
2022-10-31,50266,50900,50000,50866,48293.08909657436,
2022-11-07,50862,52534,50606,52334,48293.08909657436,
2022-11-14,52318,53200,52300,52588,48293.08909657436,
2022-11-21,52508,52750,52068,52544,48293.08909657436,
2022-11-28,52421,53968,52141,53850,48293.08909657436,
2022-12-05,53949,54400,53461,54295,48909.00623967592,
2022-12-12,54109,55047,53882,54300,49467.10582369752,
2022-12-19,54354,55220,54182,54574,49759.96543545103,
2022-12-26,54525,55365,54520,55017,50105.53440642096,
2023-01-02,55052,56010,55040,55743,50745.69877932622,
2023-01-09,55800,56370,55522,56324,51259.18552737114,
2023-01-16,56467,56850,56122,56658,51917.50649221307,
2023-01-23,56751,57125,56514,56857,52392.6393927322,
2023-01-30,56900,58847,56544,56585,52949.63009988338,
2023-02-06,56638,57419,56496,56741,52949.63009988338,
2023-02-13,56762,56999,55691,56257,52949.63009988338,
2023-02-20,56209,56395,55380,55432,52949.63009988338,
2023-02-27,55397,56020,55132,55721,52949.63009988338,
2023-03-06,55878,56190,54771,56150,52949.63009988338,
2023-03-13,56667,59461,56353,59383,52949.63009988338,
2023-03-20,59418,60455,58462,59273,54037.66321166794,
2023-03-27,59300,60065,58405,59612,54037.66321166794,
2023-04-03,59304,61181,59240,60511,54557.59328660852,
2023-04-10,60402,61371,59912,60329,54976.38706750129,
2023-04-17,60351,60689,59622,59845,54976.38706750129,
2023-04-24,59865,60428,59547,59919,54976.38706750129,
2023-05-01,59867,61845,59700,60628,55127.42210762179,
2023-05-08,60783,61651,60525,60887,55518.99396711367,
2023-05-15,60910,61498,59540,60379,55518.99396711367,
2023-05-22,60245,60430,59225,59353,55518.99396711367,
2023-05-29,59406,60385,59225,59608,55518.99396711367,
2023-06-05,59555,60116,59333,59821,55518.99396711367,
2023-06-12,59713,59920,58661,59354,55518.99396711367,
2023-06-19,59272,59392,58096,58307,55518.99396711367,
2023-06-26,58429,58670,57651,58211,55518.99396711367,
2023-07-03,58154,58949,57971,58782,55518.99396711367,
2023-07-10,58739,59379,58403,59316,55518.99396711367,
2023-07-17,59147,59984,58939,59309,55518.99396711367,
2023-07-24,59241,59680,58740,59427,55518.99396711367,
2023-07-31,59390,59930,59176,59527,55518.99396711367,
2023-08-07,59550,59567,58725,58906,55518.99396711367,
2023-08-14,58904,59019,58275,58375,55518.99396711367,
2023-08-21,58420,58895,58281,58640,55518.99396711367,
2023-08-28,58685,59665,58671,59395,55518.99396711367,
2023-09-04,59570,59574,58864,58898,55518.99396711367,
2023-09-11,58930,59148,58354,58993,55518.99396711367,
2023-09-18,58913,59443,58685,58946,55518.99396711367,
2023-09-25,58884,58996,57026,57600,55518.99396711367,
2023-10-03,57426,57426,56421,56871,55518.99396711367,
2023-10-09,57000,59439,57000,59408,55518.99396711367,
2023-10-16,59209,61124,58880,60725,55518.99396711367,
2023-10-23,60400,61268,60125,61156,55617.16945497918,
2023-10-30,61396,61539,60661,61020,56125.158157980564,
2023-11-06,60847,60975,59551,59752,56125.158157980564,
2023-11-13,59699,61914,59490,60713,56125.158157980564,
2023-11-20,60719,61390,60356,61364,56125.158157980564,
2023-11-27,61597,63382,61451,63357,56964.353665125556,
2023-12-04,63720,64063,61625,61719,57105.19675411719,
2023-12-11,61800,62880,61001,62192,57105.19675411719,
2023-12-18,62193,63277,61950,62954,57105.19675411719,
2023-12-26,63149,63821,62903,63203,57684.58011653261,
2024-01-01,63225,63653,62160,62557,57684.58011653261,
2024-01-08,62511,62690,61731,62362,57684.58011653261,
2024-01-15,62502,62646,61454,62004,57684.58011653261,
2024-01-22,61880,62259,61752,61964,57684.58011653261,
2024-01-29,62080,63230,62041,62562,57684.58011653261,
2024-02-05,62493,62730,62100,62294,57684.58011653261,
2024-02-12,62240,62399,61190,61878,57684.58011653261,
2024-02-19,61970,62388,61877,62345,57684.58011653261,
2024-02-26,62327,63611,62050,63563,57869.24409509449,
2024-03-04,63401,66356,63401,66023,59459.994488754855,
2024-03-11,66023,66182,65382,65542,60511.394856171195,
2024-03-18,65348,66943,65180,65858,60672.135199093114,
2024-03-25,65858,67850,65858,67677,61292.72618582024,
2024-04-01,68699,70699,68021,70636,63363.61110676556,
2024-04-08,70999,73958,70443,71843,65666.53703298118,
2024-04-15,72030,73315,71200,72806,65666.53703298118,
2024-04-22,72127,72295,70202,71500,65666.53703298118,
2024-04-29,71230,71698,70082,70668,65666.53703298118,
2024-05-06,70849,72888,70849,72727,65666.53703298118,
2024-05-13,72363,73782,71750,73711,65676.00306992735,
2024-05-20,73900,74442,71211,71256,65676.00306992735,
2024-05-27,71595,72670,71456,71834,65676.00306992735,
2024-06-03,71467,73516,71172,71353,65676.00306992735,
2024-06-10,71149,72172,70751,71965,65676.00306992735,
2024-06-17,71672,72867,71175,71584,65676.00306992735,
2024-06-24,71716,71917,70870,71582,65676.00306992735,
2024-07-01,71606,73149,71375,73051,65676.00306992735,
2024-07-08,73038,73333,72111,73269,65750.8419047103,
2024-07-15,73105,74731,72930,72990,66843.81911106294,
2024-07-22,73161,73185,67400,68186,66843.81911106294,
2024-07-29,68426,70965,67945,69789,66843.81911106294,
2024-08-05,70044,70511,68379,69895,66843.81911106294,
2024-08-12,69719,71475,69714,71375,66843.81911106294,
2024-08-19,71458,72272,70894,71777,66843.81911106294,
2024-08-26,71852,72251,71514,71611,66843.81911106294,
2024-09-02,71512,72235,70913,71426,66843.81911106294,
2024-09-09,71504,73613,71127,73515,66843.81911106294,
2024-09-16,73600,74180,72785,74040,66843.81911106294,
2024-09-23,74205,76000,73983,74858,67374.31769801833,
2024-09-30,75979,76630,75366,76143,68416.09651815044,
2024-10-07,76005,76350,74757,76307,68416.09651815044,
2024-10-14,76251,77839,75766,77749,69248.53963358884,
2024-10-21,78077,78919,77613,78532,70867.37032468291,
2024-10-28,78320,79775,78111,78867,71593.87896970405,
2024-11-04,78541,78687,76300,77272,71593.87896970405,
2024-11-11,76968,76968,73300,73946,71593.87896970405,
2024-11-18,74420,77685,74349,77616,71593.87896970405,
2024-11-25,77000,77000,74852,76374,71593.87896970405,
2024-12-02,76345,77229,76201,76619,71593.87896970405,
2024-12-09,76748,79120,76611,77136,71593.87896970405,
2024-12-16,77082,77399,75459,76420,71593.87896970405,
2024-12-23,76399,77172,76002,76544,71593.87896970405,
2024-12-30,76714,77947,76018,77317,71593.87896970405,
2025-01-06,77317,78794,76563,78423,71593.87896970405,
2025-01-13,78259,79270,77965,79023,71593.87896970405,
2025-01-20,78882,80312,78421,80026,71593.87896970405,
2025-01-27,79859,83360,79500,82304,72930.78147352315,
2025-02-03,81900,85279,81862,84888,74726.69604195494,
2025-02-10,85000,86360,84537,84687,76708.14963915794,
2025-02-17,84946,86592,84719,86010,76989.83966321408,
2025-02-24,85998,86576,84033,84219,76989.83966321408,
2025-03-03,84511,86356,84511,85877,76989.83966321408,
2025-03-10,85981,88310,85309,87991,77841.1254921065,
2025-03-17,87831,89796,87323,87778,79529.55045929941,
2025-03-24,87786,89060,87172,88806,79529.55045929941,
2025-03-31,89400,91423,87901,88075,80386.80840010081,
2025-04-07,88000,93940,86710,93745,80386.80840010081,
2025-04-14,93578,95935,92752,95254,83615.51087297671,
2025-04-21,96696,99358,94000,94992,85237.4101481116,
2025-04-28,95000,96300,92055,92637,85237.4101481116,
2025-05-05,93249,97559,92925,96518,85237.4101481116,
2025-05-12,95500,95500,90890,92441,85237.4101481116,
2025-05-19,93024,96550,92800,96421,85237.4101481116,
2025-05-26,96001,96101,94400,94644,85237.4101481116,
2025-06-02,96131,99214,96101,97036,85237.4101481116,
2025-06-09,96860,100681,96276,100276,85237.4101481116,
2025-06-16,100470,101078,98431,99109,86403.66376507579,
2025-06-23,99100,99830,94951,95470,86403.66376507579,
2025-06-30,95492,97780,95380,96990,86403.66376507579,
2025-07-07,96485,98076,95802,97818,86403.66376507579,
2025-07-14,97967,98450,96829,98024,86403.66376507579,
2025-07-21,98210,100555,97744,97819,86504.90029206665,
2025-07-28,97852,99975,97280,99754,86504.90029206665,
2025-08-04,99999,102250,99939,101798,88743.2931433114,
2025-08-11,101198,101199,99663,99838,88743.2931433114,
2025-08-18,99960,100449,98516,100384,88743.2931433114,
2025-08-25,100195,104090,100195,103824,90084.78989192488,
