time,open,high,low,close
2025-07-23T13:15:00+05:30,25205.5,25245,25191.1,25245
2025-07-23T14:15:00+05:30,25242.1,25260,25229.5,25255.2
2025-07-23T15:15:00+05:30,25255.1,25259,25247.1,25254.9
2025-07-24T09:15:00+05:30,25290.1,25290.1,25188.2,25192
2025-07-24T10:15:00+05:30,25191.5,25221.3,25178.2,25185.6
2025-07-24T11:15:00+05:30,25179,25184.9,25049,25082.5
2025-07-24T12:15:00+05:30,25082.7,25115,25062.8,25096.7
2025-07-24T13:15:00+05:30,25097.7,25127,25076.8,25120.6
2025-07-24T14:15:00+05:30,25121.3,25129,25082.4,25100.7
2025-07-24T15:15:00+05:30,25100.3,25107,25081.8,25090
2025-07-25T09:15:00+05:30,25011,25024,24925,24931.4
2025-07-25T10:15:00+05:30,24926.8,24926.8,24863.2,24884.1
2025-07-25T11:15:00+05:30,24887,24920.1,24844.6,24868.4
2025-07-25T12:15:00+05:30,24863.1,24888.3,24831,24863.4
2025-07-25T13:15:00+05:30,24869.5,24894,24832,24854.8
2025-07-25T14:15:00+05:30,24854.4,24873,24835.9,24852.8
2025-07-25T15:15:00+05:30,24853,24858.2,24844.3,24846.5
2025-07-28T09:15:00+05:30,24799.9,24890.9,24751,24882
2025-07-28T10:15:00+05:30,24883.9,24925,24806,24836.7
2025-07-28T11:15:00+05:30,24834.2,24859.8,24803.1,24812
2025-07-28T12:15:00+05:30,24805.5,24824,24715,24726.4
2025-07-28T13:15:00+05:30,24722.5,24730,24667.6,24703.2
2025-07-28T14:15:00+05:30,24703.2,24728.9,24692.3,24704.3
2025-07-28T15:15:00+05:30,24706.4,24714.2,24701.8,24706.5
2025-07-29T09:15:00+05:30,24636,24755,24630,24687.8
2025-07-29T10:15:00+05:30,24687.9,24694.8,24637,24677.9
2025-07-29T11:15:00+05:30,24677.9,24729,24677.9,24719
2025-07-29T12:15:00+05:30,24719,24761.6,24706.9,24752
2025-07-29T13:15:00+05:30,24756.5,24838.2,24737.8,24820
2025-07-29T14:15:00+05:30,24820,24847,24790,24828.3
2025-07-29T15:15:00+05:30,24828,24859,24828,24843.3
2025-07-30T09:15:00+05:30,24845,24885.3,24813.1,24846.6
2025-07-30T10:15:00+05:30,24839.3,24862.8,24786,24854
2025-07-30T11:15:00+05:30,24853.9,24910.6,24849.9,24860
2025-07-30T12:15:00+05:30,24858.4,24886.8,24851.3,24867.8
2025-07-30T13:15:00+05:30,24870.6,24886.6,24836.6,24870
2025-07-30T14:15:00+05:30,24872,24908.1,24861,24867.6
2025-07-30T15:15:00+05:30,24869.5,24876.5,24858.5,24859
2025-07-31T09:15:00+05:30,24693,24718,24625.1,24665
2025-07-31T10:15:00+05:30,24660.4,24773.9,24651.5,24744
2025-07-31T11:15:00+05:30,24744,24830,24737,24820.7
2025-07-31T12:15:00+05:30,24823,24935,24816.8,24905
2025-07-31T13:15:00+05:30,24905.9,24970,24894.2,24929.7
2025-07-31T14:15:00+05:30,24933.3,24933.3,24752.3,24767.2
2025-07-31T15:15:00+05:30,24768.6,24771,24760,24766.8
2025-08-01T09:15:00+05:30,24800,24820,24743.1,24817
2025-08-01T10:15:00+05:30,24818,24854.9,24775.6,24782.3
2025-08-01T11:15:00+05:30,24777,24794,24711.8,24722
2025-08-01T12:15:00+05:30,24715.8,24770,24690,24722.6
2025-08-01T13:15:00+05:30,24720,24754,24695,24711.8
2025-08-01T14:15:00+05:30,24707.4,24722,24601.4,24622.9
2025-08-01T15:15:00+05:30,24620.3,24629,24605.2,24613
2025-08-04T09:15:00+05:30,24630,24745,24630,24703.4
2025-08-04T10:15:00+05:30,24702.4,24750.9,24680,24744.9
2025-08-04T11:15:00+05:30,24743.2,24765.2,24716.3,24750
2025-08-04T12:15:00+05:30,24750,24793,24740.2,24768.6
2025-08-04T13:15:00+05:30,24768.6,24812.9,24729.4,24790.2
2025-08-04T14:15:00+05:30,24790.5,24808.8,24768.8,24781.8
2025-08-04T15:15:00+05:30,24782,24805.2,24782,24800
2025-08-05T09:15:00+05:30,24774.9,24783.7,24660,24683.9
2025-08-05T10:15:00+05:30,24681.5,24709,24663,24690.8
2025-08-05T11:15:00+05:30,24691.6,24734,24680,24727
2025-08-05T12:15:00+05:30,24724.8,24733.4,24673.8,24688
2025-08-05T13:15:00+05:30,24685,24688.9,24650,24669
2025-08-05T14:15:00+05:30,24669,24723.6,24661,24722
2025-08-05T15:15:00+05:30,24722.9,24724.7,24708.3,24715
2025-08-06T09:15:00+05:30,24707.8,24738.9,24655,24683
2025-08-06T10:15:00+05:30,24683,24719,24620,24632.9
2025-08-06T11:15:00+05:30,24634,24670,24621.2,24658
2025-08-06T12:15:00+05:30,24655,24708.2,24651,24686.8
2025-08-06T13:15:00+05:30,24680.7,24694.9,24644.2,24650
2025-08-06T14:15:00+05:30,24653.3,24658.8,24616.6,24640.1
2025-08-06T15:15:00+05:30,24640.4,24641.3,24628,24630
2025-08-07T09:15:00+05:30,24539.9,24614,24539.9,24556.9
2025-08-07T10:15:00+05:30,24556.2,24563.1,24465,24476
2025-08-07T11:15:00+05:30,24476,24515.4,24475.5,24510.5
2025-08-07T12:15:00+05:30,24510.4,24519,24464.7,24467.4
2025-08-07T13:15:00+05:30,24467,24501.5,24409,24490
2025-08-07T14:15:00+05:30,24497,24680,24493.2,24670
2025-08-07T15:15:00+05:30,24668.7,24721,24668.7,24710.8
2025-08-08T09:15:00+05:30,24669,24694,24515,24526
2025-08-08T10:15:00+05:30,24528,24560,24490,24521.8
2025-08-08T11:15:00+05:30,24521.7,24533,24480,24508.9
2025-08-08T12:15:00+05:30,24506.5,24564.9,24491.3,24512.5
2025-08-08T13:15:00+05:30,24512.7,24539,24466.6,24487.1
2025-08-08T14:15:00+05:30,24487,24506.3,24413.1,24426.5
2025-08-08T15:15:00+05:30,24426.5,24448.6,24426.5,24429
2025-08-11T09:15:00+05:30,24455,24495,24409.2,24488.9
2025-08-11T10:15:00+05:30,24485.4,24538.5,24480,24505.6
2025-08-11T11:15:00+05:30,24506,24544,24480.4,24519.9
2025-08-11T12:15:00+05:30,24519.9,24585,24505.7,24553.9
2025-08-11T13:15:00+05:30,24558,24604.5,24545,24595
2025-08-11T14:15:00+05:30,24595.7,24646.2,24588.6,24624.2
2025-08-11T15:15:00+05:30,24624.5,24629,24605.1,24612.3
2025-08-12T09:15:00+05:30,24605.1,24764,24595,24734.9
2025-08-12T10:15:00+05:30,24730.3,24748.6,24589,24602.9
2025-08-12T11:15:00+05:30,24602.3,24659,24592,24636.8
2025-08-12T12:15:00+05:30,24636.1,24708,24630.9,24659.9
2025-08-12T13:15:00+05:30,24658.5,24673.4,24596.8,24607
2025-08-12T14:15:00+05:30,24605,24620,24541.6,24559.1
2025-08-12T15:15:00+05:30,24559.4,24565.9,24547,24547
2025-08-13T09:15:00+05:30,24625,24693.8,24610,24665
2025-08-13T10:15:00+05:30,24667,24688.8,24635,24673.9
2025-08-13T11:15:00+05:30,24669.3,24684,24625,24661.8
2025-08-13T12:15:00+05:30,24661.8,24724,24652.7,24702.2
2025-08-13T13:15:00+05:30,24703,24748,24685,24734.8
2025-08-13T14:15:00+05:30,24738.6,24740,24702,24705.8
2025-08-13T15:15:00+05:30,24706,24720,24705.5,24714.7
2025-08-14T09:15:00+05:30,24708.9,24750.9,24681.1,24698
2025-08-14T10:15:00+05:30,24692.8,24730,24687.6,24706
2025-08-14T11:15:00+05:30,24710,24719.9,24666.3,24681.9
2025-08-14T12:15:00+05:30,24683.1,24725,24681.8,24716.1
2025-08-14T13:15:00+05:30,24716.1,24725,24685,24695.7
2025-08-14T14:15:00+05:30,24691.3,24705,24657.4,24685.5
2025-08-14T15:15:00+05:30,24690.3,24690.3,24671,24671
2025-08-18T09:15:00+05:30,24906.3,25079,24906.3,25049
2025-08-18T10:15:00+05:30,25049,25057.4,25007,25022
2025-08-18T11:15:00+05:30,25024.9,25034,24925,24931.4
2025-08-18T12:15:00+05:30,24932,25006.9,24916.5,24997
2025-08-18T13:15:00+05:30,25000,25007.9,24967.1,24998
2025-08-18T14:15:00+05:30,24998.8,25005,24955.4,24956.1
2025-08-18T15:15:00+05:30,24961.7,24975,24956.1,24973.1
2025-08-19T09:15:00+05:30,24958,24984,24922.3,24976.7
2025-08-19T10:15:00+05:30,24974.3,24995,24956.8,24994
2025-08-19T11:15:00+05:30,24995,25033.7,24977.6,25030
2025-08-19T12:15:00+05:30,25034,25060.9,25027,25030
2025-08-19T13:15:00+05:30,25036.9,25045,24983.9,24996
2025-08-19T14:15:00+05:30,24992.7,25048,24990,25030.8
2025-08-19T15:15:00+05:30,25025.6,25041.8,25025.6,25036
2025-08-20T09:15:00+05:30,24974.9,25026.5,24960,25021.5
2025-08-20T10:15:00+05:30,25024.7,25067.8,25011,25066
2025-08-20T11:15:00+05:30,25066,25084.6,25046.2,25075
2025-08-20T12:15:00+05:30,25075,25095.1,25066.7,25082.5
