time,open,high,low,close,Volume
2020-06-29,49445,49584,48720,48983,22851
2020-06-30,49100,50494,48958,50364,35430
2020-07-01,50333,50891,49129,49424,43733
2020-07-02,49352,49422,48450,49204,34405
2020-07-03,49188,49366,48935,49177,14379
2020-07-06,49087,50490,48865,49790,32728
2020-07-07,49790,50260,49178,50202,37765
2020-07-08,50177,51550,50005,51382,42236
2020-07-09,51443,52144,50727,51091,52644
2020-07-10,51163,51648,50952,51362,33992
2020-07-13,51780,53184,51780,53048,45613
2020-07-14,52487,52786,51950,52649,40596
2020-07-15,52840,53137,52435,53058,35478
2020-07-16,53007,53199,52450,52610,32971
2020-07-17,52444,52989,52178,52899,29994
2020-07-20,52819,54130,52735,54005,41695
2020-07-21,54802,57457,54802,57342,66903
2020-07-22,58000,62200,58000,61115,111710
2020-07-23,60790,62400,60450,61190,64387
2020-07-24,61137,61828,60510,61223,45742
2020-07-27,63671,66164,63671,65528,61307
2020-07-28,66047,67560,61597,65004,105390
2020-07-29,65249,65749,64350,65354,41542
2020-07-30,65370,65370,61800,62670,74863
2020-07-31,63344,65679,63344,64984,55284
2020-08-03,65656,66000,65120,65748,33544
2020-08-04,65896,69999,65182,69797,52630
2020-08-05,69746,72980,69569,71893,74620
2020-08-06,72560,76360,72510,76052,72099
2020-08-07,77949,77949,73518,74160,77930
2020-08-10,75314,76219,74302,75394,45483
2020-08-11,75000,75010,66347,66934,81822
2020-08-12,64257,68480,60910,66753,77529
2020-08-13,67280,71430,66250,71077,45866
2020-08-14,70650,70939,66202,67171,44821
2020-08-17,67106,70246,67030,69155,38196
2020-08-18,69445,71350,65006,69505,45365
2020-08-19,68783,69236,67005,67963,34148
2020-08-20,67570,68033,66401,67595,29846
2020-08-21,68397,68900,65201,67067,31974
2020-08-24,66589,67345,65300,65569,30410
2020-08-25,65983,66159,63766,64007,25888
2020-08-26,64398,67815,63153,67529,34304
2020-08-27,66709,67826,64613,65190,30278
2020-08-28,65509,66660,65268,65976,20430
2020-08-31,70003,70719,69077,70437,23649
2020-09-01,71000,73254,70667,70890,18613
2020-09-02,70600,70600,67886,68254,25867
2020-09-03,68594,68855,66306,66926,31736
2020-09-04,67102,67910,66225,67266,28027
2020-09-07,68232,68450,67636,68271,13446
2020-09-08,67799,68713,66155,68494,32906
2020-09-09,68056,68532,67288,68443,21081
2020-09-10,68660,69768,68471,68991,26493
2020-09-11,68500,68579,67613,67928,20938
2020-09-14,68485,69200,67906,68965,19443
2020-09-15,69500,69887,68199,68967,21119
2020-09-16,68914,69249,68600,68781,17882
2020-09-17,67900,68280,66650,68142,27840
2020-09-18,68499,68500,67480,67877,19085
2020-09-21,67888,67888,60664,61316,45852
2020-09-22,61869,61990,59570,61213,39001
2020-09-23,60311,60487,58037,58488,41834
2020-09-24,57900,59847,56020,59629,42510
2020-09-25,59320,59720,57550,59027,29815
2020-09-28,58513,60495,57652,60396,33848
2020-09-29,60610,62598,60060,62466,31920
2020-09-30,61201,61700,59460,59919,35534
2020-10-01,60001,61530,59620,61145,29750
2020-10-05,60737,62365,60259,61941,25702
2020-10-06,61790,62365,60204,60571,30687
2020-10-07,59850,60932,59338,60419,31084
2020-10-08,60350,61490,60041,60519,25458
2020-10-09,61038,63242,61038,62884,28592
2020-10-12,63839,64122,62429,63098,24611
2020-10-13,62401,62978,60200,60542,31791
2020-10-14,60725,62282,60601,61603,25329
2020-10-15,61114,61665,59820,61535,28875
2020-10-16,61649,62170,61324,61676,18707
2020-10-19,61462,63280,61177,62095,23793
2020-10-20,62050,63259,61662,63124,23917
2020-10-21,63530,64070,63115,63629,28651
2020-10-22,63111,63250,61856,62615,24747
2020-10-23,62658,63066,62063,62449,21726
2020-10-26,61720,62480,61251,61906,25339
2020-10-27,62341,62580,61510,62281,20830
2020-10-28,62060,62500,59100,60138,38872
2020-10-29,60069,60735,58381,60172,37602
2020-10-30,60557,61326,59918,60865,26674
2020-11-02,61422,62272,61330,62007,26238
2020-11-03,61987,62791,61612,62685,24837
2020-11-04,61420,62335,60800,61389,38258
2020-11-05,62020,64380,61900,64253,35098
2020-11-06,64479,66244,64024,65335,38040
2020-11-09,65900,66478,60560,60854,55741
2020-11-10,61900,63226,61443,63044,30999
2020-11-11,63000,63044,61234,62541,27304
2020-11-12,62767,63095,62145,62739,18969
2020-11-13,62539,64152,62510,63733,17767
2020-11-14,63900,64038,63560,63801,1079
2020-11-16,64010,64089,62160,63691,17488
2020-11-17,63690,63715,62846,63248,19272
2020-11-18,62897,63280,62023,62543,24939
2020-11-19,62091,62182,60710,61510,28771
2020-11-20,61610,62750,61560,62158,19817
2020-11-23,62119,62300,60160,60525,31759
2020-11-24,60064,60251,58827,59621,31807
2020-11-25,59617,60472,59135,59843,21731
2020-11-26,60034,60267,59450,59873,15024
2020-11-27,59507,59950,57877,58984,23184
2020-11-30,59247,60490,58880,60222,15421
2020-12-01,61012,63456,60575,63198,24418
2020-12-02,62481,64300,62355,63325,25542
2020-12-03,63638,64398,62923,63630,26058
2020-12-04,63722,64567,63360,63813,23268
2020-12-07,63643,65650,62380,65499,26874
2020-12-08,65388,65817,64576,65192,20209
2020-12-09,64521,64804,63171,63499,26603
2020-12-10,63747,64399,62931,63530,19637
2020-12-11,63459,63935,62700,63735,19691
2020-12-14,63482,64093,62720,63471,22697
2020-12-15,63604,64937,63599,64853,20685
2020-12-16,65000,66800,65000,65911,30702
2020-12-17,66670,68398,66588,68267,32882
2020-12-18,67961,68431,67364,67907,19030
2020-12-21,68958,71650,65604,69018,55043
2020-12-22,69797,69797,66517,66871,34236
2020-12-23,66687,67750,66251,67576,26068
2020-12-24,67701,67900,66682,67509,17254
2020-12-28,69000,69800,68379,68817,26246
2020-12-29,68555,68770,67700,68097,26390
2020-12-30,68500,68999,68060,68614,17758
2020-12-31,68452,68743,67884,68105,18121
2021-01-01,68254,68275,67860,68123,1638
2021-01-04,68499,70732,68499,70036,34129
2021-01-05,70302,70963,70060,70858,23657
2021-01-06,70323,71550,68580,69417,40755
2021-01-07,69585,70291,69405,69962,23005
2021-01-08,69694,69825,63719,64231,51930
2021-01-11,63603,65726,63603,65555,28641
2021-01-12,65444,66416,65146,65906,19166
2021-01-13,66500,66500,65168,66021,16296
2021-01-14,65103,66848,64933,66683,19797
2021-01-15,65978,66266,64114,64764,28611
2021-01-18,65055,65703,64785,65429,12891
2021-01-19,65829,66195,65370,66036,17622
2021-01-20,66371,67220,65576,66990,23763
2021-01-21,67300,67848,66956,67300,14568
2021-01-22,67000,67000,65425,66642,21956
2021-01-25,66896,67214,65909,66535,18246
2021-01-27,66231,66636,65051,66536,24291
2021-01-28,66000,70527,65501,67595,48388
2021-01-29,68641,71290,68353,69706,45495
2021-02-01,71650,74426,71650,73666,55029
2021-02-02,72600,72600,67298,67541,43944
2021-02-03,68048,69147,67723,68565,21192
2021-02-04,67783,68184,66320,66818,24265
2021-02-05,67210,68823,67205,68738,18681
2021-02-08,68700,70354,68420,70084,19689
2021-02-09,70297,70757,69000,69696,18746
2021-02-10,69940,69999,68404,68926,18860
2021-02-11,68400,69270,68189,68492,16352
2021-02-12,68506,69500,68330,69117,15338
2021-02-15,69300,70244,69300,70129,12731
2021-02-16,70510,70864,68350,69372,31383
2021-02-17,69507,69626,68412,69231,19662
2021-02-18,69400,69639,68200,68494,17983
2021-02-19,68000,69838,67530,69012,22771
2021-02-22,69337,70500,68981,70432,19345
2021-02-23,70675,70699,68764,69341,23934
2021-02-24,69611,69896,68654,69543,20724
2021-02-25,70126,70537,69074,69276,23005
2021-02-26,69400,69400,66505,67261,19706
2021-03-01,69854,69872,68597,68800,14592
2021-03-02,68001,69367,66803,69215,18355
2021-03-03,69216,69332,66850,68000,18047
2021-03-04,67526,67740,65617,65921,22074
2021-03-05,65931,66099,64875,65603,15452
2021-03-08,66455,66633,65247,65852,13675
2021-03-09,66177,67600,65901,67480,13630
2021-03-10,66951,67600,66522,67475,13615
2021-03-11,67600,68099,67002,67545,8040
